	frank	frank f. hasbrouck	http://dbpedia.org/resource/Frank_F._Hasbrouck	http://dbpedia.org/ontology/binomialAuthority
	white	cyril tenison white	http://dbpedia.org/resource/Cyril_Tenison_White	http://dbpedia.org/ontology/binomialAuthority
	christian	christian gottfried ehrenberg	http://dbpedia.org/resource/Christian_Gottfried_Ehrenberg	http://dbpedia.org/ontology/binomialAuthority
	christian	johann ludwig christian gravenhorst	http://dbpedia.org/resource/Johann_Ludwig_Christian_Gravenhorst	http://dbpedia.org/ontology/binomialAuthority
	south	south carolina	http://dbpedia.org/resource/South_Carolina	http://dbpedia.org/ontology/binomialAuthority
	d.	d. s. liem	http://dbpedia.org/resource/D._S._Liem	http://dbpedia.org/ontology/binomialAuthority
	norman	norman edouard hartweg	http://dbpedia.org/resource/Norman_Edouard_Hartweg	http://dbpedia.org/ontology/binomialAuthority
	d.	currie d. marr	http://dbpedia.org/resource/Currie_D._Marr	http://dbpedia.org/ontology/binomialAuthority
	family	sowerby family	http://dbpedia.org/resource/Sowerby_family	http://dbpedia.org/ontology/binomialAuthority
	norman	norman tindale	http://dbpedia.org/resource/Norman_Tindale	http://dbpedia.org/ontology/binomialAuthority
	ex	ting ex h. t. chang	http://dbpedia.org/resource/Ting_ex_H._T._Chang	http://dbpedia.org/ontology/binomialAuthority
	christian	christian friedrich freyer	http://dbpedia.org/resource/Christian_Friedrich_Freyer	http://dbpedia.org/ontology/binomialAuthority
	august	eberhard august wilhelm von zimmermann	http://dbpedia.org/resource/Eberhard_August_Wilhelm_von_Zimmermann	http://dbpedia.org/ontology/binomialAuthority
	jean	jean jacques ch\u00e2telain	http://dbpedia.org/resource/Jean_Jacques_Ch\u00E2telain	http://dbpedia.org/ontology/binomialAuthority
	august	august kanitz	http://dbpedia.org/resource/August_Kanitz	http://dbpedia.org/ontology/binomialAuthority
	august	august johan malmberg	http://dbpedia.org/resource/August_Johan_Malmberg	http://dbpedia.org/ontology/binomialAuthority
	max	friedrich karl max vierhapper	http://dbpedia.org/resource/Friedrich_Karl_Max_Vierhapper	http://dbpedia.org/ontology/binomialAuthority
	iii	william b. driggers iii	http://dbpedia.org/resource/William_B._Driggers_III	http://dbpedia.org/ontology/binomialAuthority
	frank	frank chapman	http://dbpedia.org/resource/Frank_Chapman_(ornithologist)	http://dbpedia.org/ontology/binomialAuthority
	iii	napoleon iii	http://dbpedia.org/resource/Napoleon_III	http://dbpedia.org/ontology/binomialAuthority
